SpotifyID,Track,Artist,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,is_hit
4mKbb9uvBMlVvOUv8fdBt8,Someone To Love,Jon B. Featuring Babyface,0.665,0.452,6,0,0.0257,0.14,8.03e-06,0.125,0.304,136.12,272360,-8.486,1
2stlpR6UTNhbFbID2KTumu,We Three Kings,The Roches,0.496,0.423,2,0,0.0281,0.371,0.00147,0.0606,0.391,134.95,329400,-13.135,0
14k9qyaFUPF7fm5o0fRwZD,You,Ryan Duarte,0.805,0.772,3,0,0.0278,0.12,0.0,0.0594,0.969,130.033,208427,-5.734,1
1bUrdVhrxVzTuROudSTYVO,I Still Believe,Mariah Carey,0.604,0.53,7,1,0.0332,0.217,0.0,0.125,0.176,117.941,234933,-7.597,1
5Mj2GgUyx6x9QGRb5Z9t9t,The Deceived,Trivium,0.512,0.946,6,0,0.0393,4.03e-05,0.00696,0.326,0.429,106.038,311853,-3.854,0
0tZVOBJcMBcP0SF1ADqJFD,Standin In,Tunsi,0.678,0.562,2,1,0.324,0.165,1.7e-06,0.107,0.18,89.946,235773,-8.479,0
1EMCcU36fdAot9bpsUVjW5,Mythodea - Music for the NASA Mission: 2001 Mars Odyssey/Movement 7,Vangelis,0.1,0.34,7,1,0.0367,0.86,0.152,0.255,0.0383,179.094,297760,-15.028,0
31lLKnvcv9OLCq9uQoxOzb,Hooked On You,Silk,0.598,0.56,6,1,0.0278,0.0429,1.2e-05,0.12,0.775,179.529,289933,-7.401,1
2hluGQtmPypU3tsQudCQ3U,Tonite,DJ Quik,0.965,0.449,0,1,0.237,0.0502,1.17e-06,0.267,0.722,105.392,323267,-15.225,1
54007AqKIiRCG69C3ySu0b,Cowgirls Don't Cry,Brooks & Dunn Featuring Reba McEntire,0.648,0.75,9,1,0.0307,0.0801,4.23e-06,0.0863,0.639,114.988,214367,-4.147,1
24s6yppvGO5he6wRwCaGrr,That Girl,Maxi Priest Featuring Shaggy,0.667,0.698,5,0,0.119,0.056,0.0,0.335,0.662,138.654,240947,-7.35,1
2ei96EmnNty4PRkoXt2HFl,Heidi,Frank Chacksfield,0.44,0.292,5,1,0.0398,0.776,0.803,0.138,0.898,175.718,152760,-16.32,0
7mqqMOgnRE50GOJFPxRF8x,Just Take My Heart,Mr. Big,0.508,0.362,0,1,0.0349,0.483,0.0,0.0996,0.207,168.586,265307,-9.369,1
4pYk0mvqH5W4fxlaBhmqa9,Wasted Days And Wasted Nights,Roy Drusky,0.51,0.296,4,1,0.0378,0.747,0.117,0.149,0.634,88.323,162459,-11.487,0
3FESsHW8mAuiIsYpK6aJ6u,Gypsy,Shakira,0.763,0.758,6,1,0.0576,0.64,0.0,0.0706,0.515,92.727,198827,-5.106,1
0UXOyFFdwN2WL5bHfVZRSG,Chorando Baixinho,Yamandu + Dominguinhos,0.601,0.191,2,1,0.0371,0.956,0.104,0.102,0.481,117.815,276787,-14.707,0
28CnmZkM5CFp0ObTRQJeCw,I Should Be Sleeping,Emerson Drive,0.464,0.895,5,0,0.145,0.243,0.0,0.0687,0.674,164.404,177000,-4.16,1
53DB6LJV9B8sz0p1s6tlGS,Roll Up,Wiz Khalifa,0.523,0.805,3,1,0.192,0.0524,0.0,0.0914,0.602,125.358,227773,-5.473,1
21ZF5bGW7X1b6z4H0J9YFS,The Waiting,Zombina & The Skeletones,0.245,0.836,10,1,0.0625,6.6e-06,0.576,0.526,0.219,93.03,145520,-5.264,0
2EpqvJ8aga45T4y11w5zth,Wait And Bleed [Demo],Slipknot,0.403,0.988,7,1,0.119,0.000868,3.22e-05,0.154,0.463,89.079,154280,-4.078,0
2Vn8Ea6fGOM3dsGYVcJ62G,Girls Lie Too,Terri Clark,0.499,0.883,4,1,0.0451,0.0689,0.0,0.163,0.533,138.801,214200,-4.742,1
4e4RmTn1CMCz5Dgq1aPyxe,Mourn You Til I Join You,Naughty By Nature,0.811,0.697,10,0,0.275,0.0834,0.0,0.0965,0.855,89.88,316760,-7.409,1
4n05d2RyzCPsiOinLQsRuG,Que paso,D.A.R.,0.591,0.715,2,1,0.0403,0.432,0.0,0.169,0.689,88.031,250133,-6.028,0
67ce4ijDUFO9MGi9QY6Cfs,Energy,Devone,0.667,0.898,0,1,0.266,0.132,0.0,0.0894,0.488,111.962,221572,-5.775,1
7BKi4ZcyMBXeAvJ1OPxhdV,Outta Control,50 Cent / Mobb Deep,0.77,0.587,8,0,0.265,0.0268,0.0,0.0621,0.574,92.009,247973,-5.99,0
3eWaUgRTojLlBHfVrETuXD,Tenhert,Tinariwen,0.561,0.626,8,1,0.0439,0.142,0.11,0.0879,0.857,140.291,328853,-6.69,0
2Z8V0pBvhyegxkJzSwKUvy,Games People Play,The Jordanaires,0.509,0.725,7,1,0.11,0.476,0.0153,0.215,0.754,165.892,163232,-12.115,0
2xv4vRPukRNAtdgyj7EqrT,Hot Revolver,Lil Wayne,0.703,0.513,7,1,0.0481,0.00523,0.0,0.0872,0.274,128.994,200800,-7.209,1
3q2qkhYR5wRI52KRQoOhVb,Nassau Town,John D. Loudermilk,0.53,0.418,0,1,0.0301,0.466,6.62e-05,0.158,0.275,133.312,123440,-9.483,0
1qOqhSno0LFwPgXlcK3umM,He Says The Same Things To Me,Skeeter Davis,0.21,0.294,4,1,0.0289,0.95,5.82e-06,0.419,0.21,176.711,165773,-10.429,0
1sFIsdsQc2JdT7VTMVC1DE,Print,Jacob Young,0.387,0.281,2,0,0.0402,0.735,0.927,0.167,0.497,129.787,342987,-21.745,0
3LYHh0VAiQhcw2rgqhtNf4,Wrong Night,Reba,0.532,0.95,9,1,0.106,0.103,0.0,0.315,0.898,156.815,171027,-4.123,1
6WCkklnIremb6UoBL3IWq1,Medley: Bobby Stenhouse; Braes Of Gleniffer; Girl In A Blue Dress,The Glencastle Sound,0.707,0.798,7,1,0.0428,0.191,0.893,0.0368,0.972,113.09,213733,-13.828,0
3hb2ScEVkGchcAQqrPLP0R,Photograph,Nickelback,0.513,0.877,8,1,0.0292,0.000932,0.000163,0.136,0.389,145.919,258920,-3.756,1
50JK22El2PTIzZBU2liLDI,Mysterious Ways,U2,0.674,0.659,8,1,0.0277,0.00156,0.00765,0.108,0.697,99.768,243587,-8.049,1
75HZ6Wxnw8xbgz6HU9kKCS,Barely Breathing,Duncan Sheik,0.482,0.807,0,1,0.0457,0.0281,0.0,0.177,0.516,187.918,254547,-6.976,1
6A2hvKTF2FShj0Yma7CP8N,Turn On The Radio,Reba,0.603,0.859,11,1,0.0416,0.026,0.0,0.224,0.702,123.074,215387,-3.772,1
2s9vQfqU8LixIIYQmZx3R2,Even If I Tried,Emilio,0.807,0.679,5,0,0.0305,0.177,0.0,0.121,0.9,117.57,176667,-6.625,0
33bzn4x8eI1nFSxNV7DSqe,Freiwild,K.I.Z.,0.626,0.929,4,0,0.331,0.299,0.0,0.665,0.151,91.797,234720,-4.421,0
1xAKUwRHkeU2rej2OsU6W6,Little Woman,Jazz Gillum,0.637,0.309,7,1,0.12,0.755,0.000879,0.645,0.729,104.277,183600,-11.322,0
0hsrqeudoR9Kymm7RNiVoq,Amazing,George Michael,0.805,0.754,10,0,0.039400000000000004,0.0884,1.77e-06,0.117,0.88,128.429,265827,-6.825,0
0OtYOlAqoL6rAjdAhQ1zo9,One By One,Cher,0.639,0.763,0,0,0.0248,0.0113,3.34e-05,0.401,0.603,110.977,302427,-5.333,1
5hO5U3Djps5hAUYHYlu56m,I'm Not The Only One,Sam Smith,0.575,0.192,1,1,0.0573,0.992,0.961,0.113,0.417,141.861,181826,-17.514,1
4vHp893kV7HksfB5FN1Nk5,I Live My Life For You,Firehouse,0.519,0.517,1,1,0.0286,0.0537,0.0,0.0928,0.344,141.808,261827,-7.531,1
5knuzwU65gJK7IF5yJsuaW,Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,0.72,0.763,9,0,0.0523,0.406,0.0,0.18,0.742,101.965,251088,-4.068,1
0lVYRIVjK77Z6uG2GgM8Kl,I Can Only Imagine,MercyMe,0.407,0.612,4,1,0.0496,0.0909,0.0,0.0914,0.133,159.527,248253,-5.359,1
0xwPzLmBAYro8BUz7MrtAo,Make You Miss Me,Sam Hunt,0.614,0.472,7,1,0.0297,0.158,0.0,0.111,0.168,146.005,225693,-6.626,1
2kIq7Oq6YNfdUuTrmPC4w1,Ordinary Girl,Hannah Montana,0.405,0.847,7,1,0.22,0.0265,0.0,0.222,0.398,182.201,177507,-3.705,1
4eqHcG3ffOYNGHxjDqY8Sv,Forever,Rascal Flatts,0.333,0.698,3,1,0.039,0.141,0.0,0.113,0.203,179.979,256853,-6.986,1
